eng,french
what would your mother think if she saw you like this,Que penserait ta mère si elle te voyait ainsi
i want to find a box for this,Je veux trouver une caisse pour ceci
im really glad i was asked to do that,Je suis très content quon mait demandé de faire ça
some of them are my friends,Certains dentre eux sont mes amis
he likes drinking coffee without sugar,Il aime boire son café sans sucre
he will be a good husband,Il sera un bon mari
this is a lifesized statue,Cest une statue à taille réelle
its been three years since i began studying french,Cela fait trois ans que jai commencé à étudier le français
i wish i couldve spoken to tom,Jaurais aimé pouvoir parler à Tom
we must cut down our expenses,Nous devons trancher dans nos dépenses
im very worried about your health,Je me fais beaucoup de souci au sujet de votre santé
hes my best friend,Cest mon meilleur ami
i dont know if ive ever told you but you have beautiful eyes,Je ne sais pas si je te lai jamais dit mais tu as de beaux yeux
get with it,Faites avec
my brother likes to collect stamps,Mon frère aime collectionner les timbres
show me the way to the bus stop,Montrezmoi le chemin jusquà larrêt de bus
no kidding,Ah vraiment
we happened to meet at the station,Il se trouve quon sest rencontré à la gare
city life suits me very well,La vie urbaine me convient fort bien
tastes differ,Les goûts varient
could i do it,Seraisje en mesure de le faire
which ones the new one,Laquelle est la neuve
we criticized the photographer for not rescuing the child first,Nous critiquâmes le photographe de ne pas avoir dabord sauvé lenfant
we didnt plan this,Nous navons pas prévu ceci
why does it matter,En quoi estce important
i hate fanatics,Jai horreur des fanatiques
youre not telling me the truth,Vous ne me dites pas la vérité
i dont know why they do it but they do,Je ne sais pas pourquoi ils le font mais ils le font
i cant keep pace with you,Je ne peux pas suivre ton rythme
if i had more money i could move to a bigger house,Si javais davantage dargent je pourrais déménager pour une maison plus grande
father doesnt allow me to drive,Père ne me permet pas de conduire
were stuffed,Nous sommes gavées
coming back was a bad choice,Revenir était une erreur
everyone was pushing trying to escape,Tout le monde poussait essayant de séchapper
did you have your photograph taken for the drivers license,Avezvous fait prendre une photo de vous pour votre permis de conduire
i want to do that with tom,Jai envie de faire ça avec Tom
i shook hands with tom,Jai serré la main de Tom
its your duty to finish the job,Il est de votre devoir de terminer ce boulot
tom has already finished the book he started reading last night,Tom a déjà fini le livre quil avait commencé à lire la nuit dernière
i just dont want you to get hurt,Je ne veux pas que vous soyez blessés un point cest tout
she goes to school on foot,Elle va à l’école à pied
all the guys teased me about it,Tous les mecs mont taquiné avec ça
bring me todays paper please,Apportemoi je te prie le journal du jour
you arent in a hurry are you,Vous nêtes pas pressée si
are they japanese or chinese,Sontils japonais ou bien chinois
he moved close to her,Il sapprocha delle
in two days ill turn 13,Dans deux jours jaurai treize ans
would you like some help,Voudriezvous de laide
ill write to you or ill phone you next week,Je vous écrirai ou vous téléphonerai la semaine prochaine
tom deserves a promotion,Tom mérite une promotion
it would take me too much time to explain to you why its not going to work,Ça me prendrait trop de temps pour texpliquer pourquoi ça ne va pas marcher
i cant believe that you arent at least willing to consider the possibility that theres another explanation,Je narrive pas à croire que vous ne soyez pas disposés à au moins envisager la possibilité quil y ait une autre explication
there was a happy twinkle in her eyes,Ses yeux pétillaient de bonheur
im super hungry,Jai super faim
i remembered wrong,Je me le suis rappelé de travers
the murderer is still at large,Le meurtrier court toujours
as far as i know that never happened,Pour autant que je sache ça nest jamais arrivé
the new boss runs a really tight ship,Le nouveau patron gère vraiment efficacement la boîte
ive been following you,Je tai suivie
i will ask him where he went last sunday,Je vais lui demander où il est allé dimanche dernier
not many survive this disease,Peu survivent à cette maladie
she turned down the radio,Elle a baissé le son de la radio
i am glad to help you,Je suis contente de vous aider
hes greedy and ruthless,Il est avide et impitoyable
im glad that makes you happy,Je suis content que ça te rende heureux
id like to explain everything but i dont think we have enough time,Jaimerais tout expliquer mais je ne pense pas que nous disposions de suffisamment de temps
youre surrounded,Vous êtes cernée
will you please show me the way,Veuxtu me montrer le chemin je te prie
no one in my family can do that,Dans ma famille personne nest capable de faire cela
she advised him to fasten his seat belt,Elle lui a conseillé de mettre sa ceinture
tom loves his work,Tom aime son travail
lets not talk to her,Ne lui parlons pas
give me your address,Donnezmoi votre adresse
i cant help but feel a little relieved,Je ne peux pas mempêcher de me sentir un peu soulagé
termites eat wood,Les termites mangent du bois
we may as well start at once,On pourrait aussi sy mettre de suite
i have to go back,Il faut que je men retourne
he told me good things about you,Il ma dit de bonnes choses à ton sujet
the jokes on us,Cest nous les dindons de la farce
he is about to leave for london,Il est sur le point de partir pour Londres
tom stayed with us for three weeks last summer,Tom est resté avec nous pendant trois semaines lété dernier
the new road will benefit the people living in the hills,La nouvelle route profitera aux gens qui vivent dans les collines
ill check with you later,Je vérifierai avec vous plus tard
he has a large number of books,Il a une grande quantité de livres
we already know each other,Nous nous connaissons déjà
i cant see anything,Je ne vois rien
she screamed for help,Elle cria à laide
i think we can,Je crois que nous le pouvons
were i rich i would help the poor,Si jétais riche jaiderais les pauvres
ive been accused of murder,Jai été accusée de meurtre
thats just a cheap publicity stunt,Cest juste un coup publicitaire à peu de frais
stop harassing me,Arrêtez de me harceler
ill have to stay behind,Je vais devoir rester derrière
i know ill be able to do it,Je sais que je pourrai le faire
i dont know why it didnt work,Je ne sais pas pourquoi cela na pas marché
sorry for not answering your question i didnt see it,Désolée de ne pas avoir répondu à votre question Je ne lai pas vue
they cant be ignored,Elles ne peuvent pas être ignorées
what did i say yesterday,Quaije dit hier
she took a tenday trip to europe with her friends,Elle a fait un voyage de dix jours en Europe avec son ami
our rent is four times as much as it was ten years ago,Notre loyer est quatre fois plus élevé quil y a dix ans
what should i buy,Questce que je devrais acheter
they grew closer,Elles se sont approchées
im not sure that thats possible,Je ne suis pas sûre que ça soit possible
what did you open it with,Avec quoi lastu ouverte
im not scared at all,Je ne suis pas du tout effrayé
do you have any news for me,Avezvous la moindre nouvelle pour moi
lets see if we can help you,Voyons si on peut taider
how is it different,En quoi estce que cest différent
how long did you stay,Combien de temps y avezvous séjourné
she advised him not to spend all his money on his girlfriend,Elle lui a recommandé de ne pas claquer tout son argent pour sa petite copine
were you born here,Êtesvous nés ici
im patient,Je suis patient
i must tell you something,Il me faut te dire quelque chose
put your pajamas on,Mettez vos pyjamas
i have a lot of plans for the future,Jai beaucoup de projets pour lavenir
this couch is not comfortable,Ce canapé nest pas confortable
why dont you take off,Pourquoi ne prenezvous pas congé
she shouted that she was safe,Elle a crié quelle était en sécurité
ill be leaving for australia next month,Je partirai pour lAustralie le mois prochain
my father doesnt like soccer,Mon père naime pas le foot
ive never seen my cat act like that,Je nai jamais vu mon chat agir comme ça
id leave,Je partirais
you dont want to be an editor,Ne veuxtu pas être rédactrice
there is a bridge over the pond,Il y a un pont audessus de létang
tom said that mary seldom does that,Tom a dit que Mary faisait rarement cela
dont drink out of my glass,Ne bois pas à mon verre
i started reading the book,Je me mis à lire le livre
although it was raining i had to go out,Bien quil plût je devais sortir
i cant believe everything that just happened,Je narrive pas à croire à tout ce qui vient davoir lieu
i want to know who sent you,Je veux savoir qui ta envoyée
i knew all about that,Jen savais tout
he acted the part of king lear,Il a joué le rôle du Roi Lear
im firing you,Je te vire
im at work now,Je suis actuellement au travail
i have enough money to buy it,Jai assez dargent pour faire son acquisition
i really enjoy your company,Japprécie vraiment ta compagnie
you should do whatever you think is right,Tu devrais faire ce qui te semble juste
what can you make out,Que parvienstu à distinguer
we won the match,On a gagné le match
i dont think i could live without you,Je ne pense pas que je puisse vivre sans toi
buying a new tv wont make you happy,Faire lacquisition dune nouvelle télé ne vous rendra pas heureuse
it doesnt happen very often,Ça ne se produit pas très souvent
this one is a lot easier,Celuici est beaucoup plus facile
quit behaving like a kid,Cesse de te conduire comme une enfant
this approach has worked before,Cette approche a fonctionné auparavant
he was injured in the accident,Il a été blessé durant laccident
i could hear the birds singing outside,Je pouvais entendre les oiseaux chanter dehors
theres plenty of blame to go around,Il faut surmonter beaucoup de reproches
lets get some sleep,Prenons un peu de sommeil
were partners,Nous sommes partenaires
how could you help me,Comment pourraistu maider
stop being so naive,Arrêtez dêtre si naïves
i need to lose five pounds,Il faut que je perde cinq livres
the exercises did her good,Les exercices lui ont fait du bien
what is your idea of a good time,Quelle est votre conception dun bon moment
its new,Cest neuf
they obeyed,Ils ont obéi
i wish i could make up for lost time,Jaimerais pouvoir rattraper le temps perdu
give the money to my son,Donnez largent à mon fils
i hope things will turn out well for you,Jespère que les choses tourneront bien pour vous
it seems we are in the same boat,Il semble que nous soyons sur le même bateau
i had to stifle my anger in front of him,Je devais contenir ma colère devant lui
theres no need to go to school today,Il ny a pas besoin daller à lécole aujourdhui
if i eat too much chocolate i break out in pimples,Si je mange trop de chocolat jai une éruption de boutons
it had nothing to do with me,Ça navait rien à voir avec moi
i have very good eyesight,Je suis dotée dune très bonne vue
i wish them luck,Je leur souhaite bonne chance
you can take a break,Tu peux faire une pause
tom told me he was determined to do that,Tom ma dit quil était déterminé à le faire
no criminal charges will be filed against you,Vous ne ferez lobjet daucune incrimination
toms french has improved since he moved to france,Le français de Tom sest amélioré depuis son arrivée en France
come down here,Descends ici
osaka is the second largest city of japan,Osaka est la deuxième plus grande ville du Japon
i had a great teacher,Javais un excellent professeur
theyre canadians,Ils sont canadiens
arent you annoyed by that,Nestu pas ennuyé par ça
control yourselves,Maîtrisezvous
am i wrong about that,Aije tort à ce propos
he was at a loss what to do,Il ne savait que faire
tom didnt look that happy,Tom navait pas lair si heureux
help me with my tie,Aidezmoi avec ma cravate
we should spend our time creating content for our website rather than wasting time worrying about minor cosmetic details,Nous devrions consacrer notre temps à créer du contenu pour notre site web plutôt que de gâcher du temps à nous préoccuper de détails esthétiques mineurs
you look good in that suit,Ce costume vous va bien
id like your attention please,Jaimerais avoir votre attention sil vous plait
im worried about the future,Je m’inquiète pour lavenir
what they did next was bad even by my standards,Ce quils firent ensuite fut mauvais même selon mes normes
tom broke his nose,Tom sest cassé le nez
i dont get opera,Je ne comprends pas lopéra
tom weighs himself every morning,Tom se pèse tous les matins
youre not dressed,Tu nes pas habillée
can you play the drums,Saistu jouer de la batterie
something weirds going on,Il se passe un truc bizarre
i take full responsibility for this,Jen prends lentière responsabilité
here is a letter for you,Voici une lettre pour vous
i never wanted any of this to happen,Je nai jamais voulu que survienne quoi que ce soit de ceci
do you think theres something wrong with me,Pensezvous que quelque chose naille pas avec moi
would you mind giving me a little help with some problems im having,Cela te dérangeraitil de me fournir un peu daide pour certains problèmes que je rencontre
everybody likes french fries,Tout le monde aime les frites
there is an urgent need for blood donors,Il y a un besoin urgent de donneurs de sang
were all devastated,Nous sommes toutes anéanties
it was the greatest discovery in human history,Ce fut la plus grande découverte de lhistoire de lhumanité
i dont think being poor is anything to be ashamed of,Je ne crois pas quon doive avoir honte dêtre pauvre
it seems to me that somethings wrong,On dirait que quelque chose ne va pas
we celebrated mothers 45th birthday,Nous avons célébré le quarantecinquième anniversaire de Mère
please think before speaking,Réfléchissez avant de parler sil vous plaît
i hate speaking french,Je déteste parler le français
if you dont mind id like to be alone for a while,Si tu ny vois pas dinconvénient jaimerais être seul un moment
my cat is suffering from the heat,Mon chat souffre de la chaleur
i felt as if i had no choice,Jeus limpression de ne pas avoir le choix
do you have any idea what happened,Estce que vous avez une idée de ce quil est arrivé
long story short i was fired,En résumé je me suis fait virer
i cant stay for dinner,Je ne peux pas rester pour déjeuner
are you writing a letter,Êtesvous en train décrire une lettre
my house is near the station,Ma maison se trouve près de la gare
which ice cream shop are you going to,Chez quel glacier allezvous
my grandfather is a carpenter,Mon grandpère est menuisier
i doubt it,Jen doute
mary is a formidable woman,Marie est une femme formidable
the child is learning quickly,Lenfant apprend rapidement
im taking pictures of the bridge,Je prends des photos du pont
i thank you,Je te remercie
tom is always lying,Tom ment constamment
thats a book,Cest un livre
you must be in love,Vous devez être amoureux
everyone will die,Tout le monde va mourir
jobs are scarce,Lemploi est rare
im not qualified to do this job,Je ne suis pas qualifié pour faire ce travail
thats not an issue,Ce nest pas un problème
ive got real feelings for you,Jai de vrais sentiments à votre égard
why is that so funny,Pourquoi estce si drôle
are you falling for me,Êtesvous en train de tomber amoureux de moi
something has happened,Quelque chose sest produit
who lent you that book,Qui t’a prêté ce livre
the leaves began to turn red and yellow,Les feuilles ont commencé à devenir rouge et jaune
whatre the chances that tom will actually get the job,Quelles sont réellement les chances que Tom décroche ce travail
tom washes clothes three times a week,Tom fait la lessive trois fois par semaine
what did you find out,Quastu découvert
i am a japanese,Je suis Japonais
tom couldnt afford to buy the bicycle he wanted,Tom ne pouvait pas se permettre dacheter le vélo quil voulait
tom looks frazzled,Tom a lair crevé
you should take care of yourselves,Vous devriez faire attention à vous
i think i can,Je pense pouvoir
im not that fast,Je ne suis pas si rapide
its been a long time since ive seen any dragonflies in this area,Ça fait longtemps que je nai pas vu de libellules dans cette zone
what are your responsibilities,Quelles sont tes responsabilités
i told tom i loved him,Jai dit à Tom que je laimais
i wasnt really in the mood,Je nétais pas vraiment dhumeur
its so exciting,Cest tellement passionnant
you arent replaceable,Tu nes pas remplaçable
ill be with you in a second,Je suis à vous dans une seconde
tom started groaning,Tom a commencé à gémir
i want you to get some rest,Je veux que vous preniez du repos
theres nobody in the kitchen,Il ny a personne dans la cuisine
its impossible to live on that island,Il est impossible de vivre sur cette île
i intend to go to the barbershop,Jai lintention daller chez le coiffeur
is something happening,Quelque chose atil lieu
tom whats wrong you look pale,Tom questce qui ne va pas Tu as lair pâle
theres a cab waiting outside,Il y a un taxi qui attend dehors
this is your fault,Cest ta faute
its difficult to understand why you want to go,Il est difficile de comprendre pourquoi tu veux partir
i dont have a washing machine,Je nai pas de machine à laver
tom was laughing,Tom riait
you dont want to do anything rash,Il ne faudrait pas que vous commettiez quelque chose dimprudent
dont make me pull the trigger,Ne mobligez pas à tirer sur la gâchette
she dumped him because she thought he was a jerk,Elle le laissa tomber parce quelle pensait quil était un pauvre type
actually i dont like the way your hair is done,En réalité je naime pas ta coiffure
he is away from home,Il est loin de chez lui
tom jumped across the mud puddle,Tom a sauté pardessus la flaque de boue
i wonder if prince william lets anyone call him bill,Je me demande si le Prince Guillaume laisse quiconque lappeler Bill
i owe my success to you,Je vous dois tout mon succès
everybody wants permanent peace,Tout le monde veut une paix durable
i went to your school,Jallais à ton école
he is an actor,Cest un acteur
youre not fat,Tu nes pas grosse
my car is parked outside,Ma voiture est garée à lextérieur
our best friend is a doctor,Notre meilleur ami est médecin
i want you to handle this,Je veux que vous traitiez ceci
i didnt know you had a boyfriend,Jignorais que tu avais un petit ami
youre the only person i know who is qualified for this job,Vous êtes la seule personne que je connaisse qui soit qualifiée pour ce poste
i want to help you get out of this mess,Je veux vous aider à sortir de ce pétrin
i dont know your brother,Je ne connais pas votre frère
i prefer to study at night,Je préfère étudier le soir
i just want to ask you a few questions,Je veux seulement vous poser quelques questions
are you sure that you havent forgotten anything,Êtesvous sûr de navoir rien oublié
tom got sunburned,Tom a pris un coup de soleil
it looks like tom is busy right now,Il semble que Tom est occupé à lheure actuelle
this was a mistake,Ça a été une erreur
youre drunk,Vous êtes saouls
she is quite angry,Elle est assez fâchée
youll lose anyway,Vous perdrez de toute façon
i dont think i need your help today,Je ne pense pas avoir besoin de ton aide aujourdhui
write an essay on friendship,Écrivez une rédaction sur Lamitié
can i be your friend,Puisje être ton ami
that bicycle is too small for you,Ce vélo est trop petit pour toi
i dont like to be early,Je naime pas être en avance
she is a twin,Elle est jumelle
thats what i did,Cest ce que jai fait
i didnt see him,Je ne le vis pas
could i have some coffee please,Pourraisje avoir du café sil vous plait
i seldom make a mistake,Je me trompe rarement
im looking for a gift for a friend of mine,Je cherche un cadeau pour un de mes amis
my mother called me,Ma mère ma appelée
my boss rejected the budget for the new project,Mon chef a rejeté le budget pour le nouveau projet
he went home three hours later,Il est rentré chez lui trois heures plus tard
youd be the one to know,Tu serais celle qui est au courant
the ticket is valid to april 29,Le billet est valable jusquau 29 avril
once the teacher organized a banquet and invited all the neighbors,Une fois linstituteur organisa un banquet et invita tous les voisins
i called the cops,Jai appelé les flics
that one is all yours,Celuici est tout à vous
where are they taking you,Où temmènentelles
that sounds like a fairly good proposal,Ça a lair dêtre une assez bonne proposition
hows your old lady doing,Comment va ta femme
is this man threatening you,Cet homme te menacetil
there is no hope of his recovery,Il ny a pas despoir pour son rétablissement
he went to austria for the purpose of studying music,Il est allé en Autriche afin détudier la musique
i didnt mean any of it,Je nen avais pas la moindre intention
the shirt that ive just bought is very nice,La chemise que je viens dacheter est très belle
amnesty international often organizes public protests in support of political prisoners,Amnistie internationale organise souvent des manifestations en soutien aux prisonniers politiques
is the door closed,Estce que la porte est fermée
i thought youd be proud of me,Je pensais que vous seriez fier de moi
i was very tired last night,Jétais très fatiguée hier soir
i stayed with a friend of mine,Je suis restée avec un de mes amis
im not always like this,Je ne suis pas toujours comme ça
thats all tom did,Cest tout ce que Tom a fait
he was not feeling well,Il ne se sentait pas bien
do you drive,Vous conduisez
she stood as close to him as she could,Elle sest tenue aussi près de lui quelle a pu
i have three cousins,Jai trois cousins
stop where you are,Arrêtezvous où vous êtes
what is your type exactly,Quel est votre type exactement
i need a haircut,Jai besoin de me faire couper les cheveux
i did that,Cest moi qui lai fait
i pleaded not guilty,Jai plaidé non coupable
sometimes he spends time by himself,Il passe parfois des moments tout seul
i think we should hire tom,Je pense que nous devrions engager Tom
i thought he loved you but as it is he loved another girl,Je pensais quil taimait mais il savère quil en aimait une autre
christmas is soon,Noël arrive bientôt
what do you think of my idea,Que pensezvous de mon idée
where do you work,Où travaillestu
she is no match for me,Elle nest pas de taille avec moi
im not sure if thatll help,Je ne suis pas sûr que cela va aider
i had to do everything alone,Je devais tout faire seul
im very happy now,Maintenant je suis très heureuse
youre a traitor,Vous êtes un traître
you cant give up,Tu ne peux pas admettre ta défaite
im glad to be home,Je suis contente dêtre à la maison
he really ticked me off,Il ma vraiment énervé
are you going home by bus,Rentrestu chez toi en bus
she is known to everyone,Elle est connue de tout le monde
he participated in the debate,Il a participé aux débats
ill pretend this never happened,Je vais prétendre que ceci nest jamais arrivé
the chances are that he is still in bed,Il est sans doute encore en train de dormir
i can survive,Je peux survivre
bilingual dictionaries are allowed,Les dictionnaires bilingues sont autorisés
my daughters getting all gussied up for her first date,Ma fille se fait toute belle pour son premier rendezvous galant
she kissed away the boys tears,Elle effaça les larmes du garçon de ses baisers
the cat is wet,Le chat est mouillé
we broke up,Nous avons rompu
i know those girls,Je connais ces filles
do you know who this car here belongs to,Savezvous à qui appartient cette voiture
this problem is too difficult for primary school children to solve,Ce problème est trop difficile pour être résolu par des enfants de lécole primaire
toms the kind of person who calls a spade a spade and a lot of people dont like that,Tom est le genre de personne qui dit les choses comme elles sont et beaucoup de gens naiment pas ça
they fell into the conversation immediately,Ils tombèrent immédiatement dans la conversation
is that even possible,Cest possible au moins
this is a gold mine,Cest une mine dor
do you plan to go overseas,Prévoistu de te rendre outremer
cant you speak french,Tu ne parles pas français
ill expect you next week,Je tattendrai la semaine prochaine
are you looking for someone,Cherchestu quelquun
the dog stopped barking,Le chien a cessé daboyer
when did that happen,Quand cela atil eu lieu
he had a lot of things to do,Il avait beaucoup de choses à faire
have a good look at this picture,Regardez bien cette photo
wheres the exit,Où est la sortie
tom still doesnt believe it,Tom ny croit toujours pas
we rode a boat to the island,Nous avons pris un bateau vers lîle
all i want you to do is talk to us,Tout ce que je veux que vous fassiez est de nous parler
i know thats true,Je sais que cest vrai
i almost fell into the pool,Je suis presque tombé dans la piscine
i hear sirens,Jentends des sirènes
tom wants revenge,Tom veut se venger
he acted as our guide,Il nous fit office de guide
it could cost you your head,Ça peut te coûter la tête
im poor too,Je suis pauvre également
i like music particularly classical music,Jaime la musique en particulier la musique classique
dont expose it to the rain,Ne le mets pas sous la pluie
tom took his new car out for a spin,Tom sortit sa nouvelle voiture pour faire une balade
do you have a few minutes,Avezvous quelques minutes
that was months ago,Cétait il y a des mois
after reading his books i feel i can construct a house,Après avoir lu ses livres jai le sentiment de pouvoir construire une maison
none of them wanted to talk,Aucun dentre eux ne voulait discuter
any comments are welcome,Tous les commentaires sont bienvenus
i didnt know you were still here,Je ne savais pas que vous étiez encore ici
tommy couldnt answer the last question,Tommy ne sut pas répondre au dernier problème
bring food,Apporte à manger
i want to give you a hug,Jai envie de te faire un câlin
youve probably heard of me,Tu as peutêtre entendu parler de moi
he must have missed his usual train,Il a dû rater son train habituel
this is on sale,Cest en promo
its a nice day isnt it why not go out for a walk,Cest une bonne journée nestce pas  Pourquoi ne pas sortir faire une marche
i think in french,Je pense en français
adversity is the test of friendship,On reconnait ses vrais amis dans la misère
he promises not to drink anymore,Il promet de ne plus boire
tom took cover,Tom sest mis à labri
were obedient,Nous sommes obéissants
i dont like going out by myself at night,Je naime pas sortir seul le soir
what is the matter with you,Que vous arrivetil
can you remember the first time we met each other,Peuxtu te rappeler la première fois que nous nous sommes rencontrés
catching cancer early increases survival odds,Contracter un cancer tôt accroît les chances de survie
i want to go out tonight,Je veux sortir ce soir
she was too shocked to speak,Elle était trop choquée pour parler
the rumors all over town,La rumeur courre la ville
could you hang up the laundry,Tu pourrais étendre le linge
tom is angry with me,Tom est en colère contre moi
oil and water dont mix,Lhuile et leau ne sont pas miscibles
what a beautiful dress,Quelle belle robe
why dont you do that by yourself,Pourquoi ne le faitesvous pas vousmêmes
the train has arrived,Le train est arrivé
i feel lost without you,Je me sens perdu sans vous
this megaphone doesnt work,Ce mégaphone ne fonctionne pas
i suppose you want to use my office,Je suppose que vous voulez utiliser mon bureau
its bad for business,Cest mauvais pour les affaires
he is depressed,Il est déprimé
what makes you ask that,Questce qui te fait demander ça
she lost her new watch,Elle a perdu sa nouvelle montre
i love her all the more for her faults,Je laime encore plus pour ses torts
you are free to go,Vous êtes libres de partir
how did you get acquainted with her,Comment estce que tu la connais
i couldnt make myself heard in the classroom,Je ne pouvais me faire entendre dans la salle de classe
say aah,Faites aaah
dont be late,Ne sois pas en retard
i got confused,Jai été désorientée
this product is welldesigned,Ce produit est bien conçu
i dont understand what youre trying to achieve,Je ne comprends pas ce que vous essayez daccomplir
you dont need to reinvent the wheel,Vous navez pas besoin de réinventer la roue
you shouldnt depend on others too much,Tu ne devrais pas trop dépendre des autres
i think its obvious dont you,Je pense que cest évident pas vous
i waited for a bus to come,Jai attendu larrivée du bus
its true that today women have more rights but before they had more power,Les femmes ont certes aujourdhui davantage de droits Mais elles avaient auparavant davantage de pouvoir
lets sing a song,Allez chantons une chanson
learning french takes longer than most people think,Apprendre le français requiert plus de temps que ce que la plupart des gens pense
tom thought mary was safe,Tom pensait que Mary était en sécurité
i like listening to you sing,Jaime técouter chanter
we were both drunk,Nous étions tous deux saouls
i was falsely accused,Jai été accusé à tort
there has to be a first time for everything,Il y a toujours une première fois pour tout
dont let them do this,Ne les laisse pas faire ça
everythings better without you,Tout est mieux sans toi
tom will thank me for this one of these days,Tom me remerciera pour ça un de ces jours
if he finds out certainly he will be very angry,Sil sen aperçoit il sera certainement très en colère
ill give you anything you want within reason,Je te donnerai tout ce que tu veux dans les limites du raisonnable
ill give him a pen,Je lui donnerai un stylo
it was a very cold winter,Ce fut un hiver terriblement froid
christmas is coming soon,Noël arrive bientôt
i hope that you tipped the delivery boy,Jespère que tu as donné un pourboire au livreur
i apologize to all of you,Je vous présente mes excuses à toutes
i dont need a reason,Je nai pas besoin dune raison
i cant save you,Je ne peux pas vous sauver
how is your last name written,Comment ton nom de famille sécritil
they survived even though the building was destroyed,Ce sont eux qui ont survécu même si limmeuble a été détruit
why do golf balls have dimples,Pourquoi les balles de golf ontelles des fossettes
i like your personality,Jaime ta personnalité
tom had to bite the bullet,Tom a dû serrer les dents
he set fire to his own house,Il mit le feu à sa propre maison
he repaired my watch for me,Il ma réparé ma montre
tom isnt afraid of getting his clothes dirty,Tom na pas peur de salir ses vêtements
changes came quickly,Les changements survinrent rapidement
call me this evening,Appelezmoi ce soir
did you plan it yourself,Astu planifié cela toimême
its six of one and halfadozen of the other,Cest du pareil au même
she turned her eyes away,Elle détourna le regard
what makes you think so,Questce qui te fait croire ça
i let you down,Je vous ai laissées tomber
she must care for the old man,Elle doit soccuper du vieil homme
the dog ate my shoe,Le chien mangea mon soulier
i finally found out what had been causing the pain in my leg,Jai enfin trouvé ce qui causait la douleur dans ma jambe
youll feel better in a few hours,Tu te sentiras mieux dans quelques heures
it was a lot of fun,Cétait très amusant
ill meet you outside,Je te rejoindrai dehors
im blessed,Je suis béni
youre very forward,Tu es très effrontée
tom ordered mary to do it,Tom ordonna à Mary de le faire
i look forward to my birthday,Je me réjouis en vue de mon anniversaire
she grew up near the sea yet she hates swimming,Elle a grandi au bord de la mer et pourtant elle a horreur de nager
i think you know what has to be done,Je pense que vous savez ce qui doit être fait
he kept reading the book,Il a continué à lire le livre
we must do it again,Nous devons le faire à nouveau
do you have one,En astu un
you can trust him to keep his word,Vous pouvez lui faire confiance pour tenir sa parole
why dont you stick around for a few minutes,Pourquoi ne restestu pas quelques minutes
the post office is closed,Le bureau de poste est fermé
is it really worth it,Cela en vautil vraiment la peine
youre very emotional,Tu es fort émotive
the sidewalks were wet after the rain,Les trottoirs étaient mouillés après la pluie
mary looked at herself in the mirror,Mary se regarda dans le miroir
the police are looking for the robber,La police est à la recherche du voleur
youre running out of options,Tu es à court doptions
you wont be shot,On ne vous tirera pas dessus
i was born on a ship,Je suis né sur un bateau
it was saturday night,Cétait samedi soir
you shouldnt say that kind of thing when children are around,Vous ne devriez pas dire une telle chose lorsque les enfants sont dans les parages
were all very good players,Nous sommes tous de très bons joueurs
this guy deserves a medal,Ce type mérite une médaille
i cant help but think were making a mistake,Je ne peux pas mempêcher de penser que nous faisons une erreur
he struck a match but quickly put it out,Il a craqué un allumette mais la rapidement éteinte
i dont eat apples anymore,Je mange plus de pomme
he will have to go to the station,Il devra se rendre à la gare
do you know who they are,Savezvous qui ils sont
your father got a promotion,Ton père a reçu une promotion
theyre defenseless,Ils sont impuissants
i think you know thats inappropriate,Je pense que tu sais que cest déplacé
nobody thinks this is a joke,Personne ne croit que cest une blague
that turned out not to be so easy,Ça sest révélé pas si facile que ça
she has very few close friends,Elle a très peu damis proches
im neutral,Je suis neutre
it was fabulous,Ce fut fabuleux
tom sat listening,Tom est resté assis à écouter
we cant just stay here wallowing in selfpity,Nous ne pouvons pas nous contenter de rester ici à nous apitoyer sur nousmêmes
i could use some advice,Un conseil ne serait pas de refus
im proud of the work ive done here,Je suis fier du travail que jai accompli ici
the meat is tough,La viande est dure
would you like me to do something about it,Aimeriezvous que jy fasse quelque chose
canada is larger than japan,Le Canada est plus grand que le Japon
you caught me offguard,Vous mavez pris au dépourvu
why dont you tell me what happened last night,Pourquoi ne me distu pas ce qui sest passé hier au soir
i like your legs,Jaime tes jambes
why would i want this,Pourquoi voudraisje ceci
she knew the teen,Elle connaissait ladolescente
do you think im being unreasonable,Pensestu que je suis déraisonnable
it was pretty exciting,Cétait plutôt excitant
i cant do this by myself,Je ne parviens pas à le faire par moimême
you must do it yourself,Tu dois le faire toimême
she spends over a third of her time doing paperwork,Elle passe plus du tiers de son temps à soccuper de papiers
tom will quit,Tom démissionnera
he looked young beside his brother,Il avait lair jeune à côté de son frère
ill make you proud of me,Je te rendrai fière de moi
the concert was a bit disappointing,Le concert était un peu décevant
i met her by accident,Je lai rencontrée accidentellement
its so good to finally meet you,Il est si bon de finalement vous rencontrer
to tell you the truth i dont like tom,Pour te dire la vérité je naime pas Tom
he started to learn spanish from the radio,Il a commencé à apprendre lespagnol à la radio
oh dont be so modest,Oh ne sois pas si modeste
your lives will be spared if you surrender,Vous serez épargnés si vous vous rendez
im really fed up with this heat,Je nen peux vraiment plus de cette chaleur
there were no easy decisions,Il ny avait pas de décision facile
are we friends,Sommesnous amies
is there a point,À quoi cela sertil
do you have more than one copy of this key,Disposestu de plus dune copie de cette clé
hold on a minute,Attendez une minute
did you go out last night,Êtesvous sortis la nuit dernière
